"Timestamp","Yaşınız","İl","Kaç Yıldır Araba Kullanıyorsunuz","Ne Zamandır T10X kullanıyorsunuz?","T10X İlk Arabanız Mı?","Yıl","Ay","Renk","Yazılım","Model","Kaç KM yol yaptınız?  ","T10X'in yanısıra içten yanmalı aracım da var. nolur nolmaz.","İlk Sahibiyim","T10X ile Uzun Yol Yaptınız Mı?","Yine elektrikli araç alırım","Yine TOGG alırım","T10F Bekliyorum","Çoğunlukla Aksesuarda şarj ederim","Çoğunlukla ... kadar şarj ederim","Çoğunlukla AC/DC şarj ediyorum.","Çoğunlukla Evden Şarj Ederim","T10X'den memnunum","Neden T10X Aldınız","T10X'i tasarımını beğeniyorum.","T10X'i konforlu buluyorum.","T10X'in içinde güvende hissediyorum.","T10X'in kullanımını kolay buluyorum.","T10X'in şarj tüketiminden memnunum.","T10X'in menzilinden memnunum.","Servis ağını yeterli buluyorum.","Gez uygulamasından memnunum.","Uygulama çeşitliliğini yeterli buluyorum.","Bir yakınıma tavsiye ederim.","Arıza Sebebiyle Yolda Kaldınız mı? ","Bir hata, arızadan dolayı kaç kere servise gitmeniz gerekti?","Arabam Serviste Toplam ... Kadar Kaldı","Servise bir kere gittikten sonra aynı sorun tekrar etti mi?","Bir Arızadan Dolayı Telefon ile destek almanız gerekti mi?","Ne sıklıkla DTC Reset, Yeniden Başlat yapmanız gerekiyor?","Hiç Sinyal Hatası aldınız mı?","Rahatsız Eden Trim Sesleri Var Mı?","Vites Geçişinde Sorun Yaşıyorum","Direksiyonu Çevirince Aracım Gacur Gucur Ediyor.","ESA aldım.","Ses Düzeyi, Cızırtı Sorunu Yaşadım","Ekran Gelmeme Sorunu Yaşadım","Durduk Yere Çalan Alarm Sorunu Yaşadım","Araba uyumadığı için şarjımın azaldığı oldu.","Yüksek Hızda Şarj Olmama Sorunu Yaşadım.","Daha Önce Bataryanız Değişti Mi?","Belirtmek istediğiniz başka sorunlar yaşadıysanız, buyrun","Varsa eklemek istediğiniz yazabilirsiniz."
"2025/07/23 9:20:26 pm GMT+3","36-45","43 - Kütahya","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","AC","Evet","çok sorun çıkardı, keşke almasaydım","Elektrikli olduğu için","9","9","9","2","3","4","1","1","1","1","evet","3-5","0","evet","evet","ayda bir falan","hayır almadım","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","nadiren, 1-2 kez","zaman zaman","zaman zaman","zaman zaman","evet","hayır değişmedi","",""
"2025/07/23 9:30:08 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","1 Aydan Az","Hayır","2023","aralık","Anadolu","1.5 24","V2 Long Range","1,000 - 10,000","Hayır","İkinci El Aldım","Hayır","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80'e kadar","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","8","9","10","8","6","7","5","4","4","7","hayır","0","0","","hayır","hiç yapmadım","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","fark etmedim","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","bilmiyorum","hayır değişmedi","",""
"2025/07/23 9:31:32 pm GMT+3","26-35","06 - Ankara","1 Yıldan Az","1-6 Ay","Evet","2024","aralık","Ayder","1.5 24","V2 Long Range","1,000 - 10,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","8","8","8","8","7","8","2","4","1","7","hayır","0","0","hayır","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","hayır, hiç","evet","hayır almadım","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","hayır","hayır değişmedi","",""
"2025/07/23 9:33:08 pm GMT+3","26-35","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","7","9","10","5","4","8","1","1","2","3","hayır","3-5","1 Ay","evet","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","fark etmedim","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","evet","hayır değişmedi","Bataryam değişmedi ancak değişim için randevu aldım. Büyük ihtimalle 2 hafta sonra değişecek. Çoğunlukla evden şarj ettiğim için şimdilik bir problem değil gibi olsada uzun yolda can sıkacak",""
"2025/07/23 9:33:49 pm GMT+3","45+","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","haziran","Oltu","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","DC","Hayır, istasyondan","çok sorun çıkardı, keşke almasaydım","Finansman Desteği / Makul Fiyat","10","10","7","5","5","7","1","1","1","1","hayır","1","0","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","sık sık","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 9:34:39 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","mayıs","Anadolu","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","10","10","10","8","7","8","1","3","3","4","hayır","0","0","","hayır","ayda bir falan","nadiren, 1-2 kez","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 9:36:22 pm GMT+3","36-45","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2024","mayıs","Kapadokya","1.5 24","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","5","8","8","2","2","2","1","1","1","1","hayır","1-3","1 Ay","evet","evet","birkaç ayda bir","hayır almadım","1'den çok yerden geliyor","hayır, hiç","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","sık sık","nadiren, 1-2 kez","hayır","hayır değişmedi","","Yazılım ekibi berbat. Sadece araç değil web site, uygulama vs de kötü. Onlar düzelmeden bir daha asla almam."
"2025/07/23 9:37:20 pm GMT+3","36-45","68 - Aksaray","10 Yıl+","6-12 Ay","Hayır","2024","kasım","Ayder","1.5 24","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","10","10","10","5","5","5","1","1","1","8","hayır","0","0","","hayır","birkaç ayda bir","nadiren, 1-2 kez","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","sık sık","sık sık","nadiren, 1-2 kez","hayır","hayır değişmedi","Servis servis servis ","Yine servis "
"2025/07/23 9:41:14 pm GMT+3","26-35","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2023","ekim","Gemlik","1.5 24","V2 Long Range","50,000 - 100,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","DC","Hayır, istasyondan","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","9","8","10","7","3","8","1","1","1","6","evet","5+","2 Aydan Fazla","evet","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","zaman zaman","evet","zaman zaman","zaman zaman","zaman zaman","zaman zaman","nadiren, 1-2 kez","evet","evet değişti","",""
"2025/07/23 9:42:00 pm GMT+3","36-45","25 - Erzurum","10 Yıl+","6-12 Ay","Hayır","2023","eylül","Pamukkale","1.5 26","V2 Standart","10,000 - 20,000","Evet","İkinci El Aldım","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","evet, iyiki almışım","Yerli olduğu için","9","8","9","7","6","6","5","1","1","9","hayır","0","0","","hayır","birkaç ayda bir","hayır almadım","1 yerden geliyor","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
